Workload_Name,Category,Aspect,M,N,K,Strategy,L3_Size_MB,Overfetch_Total,Overfetch_A,Overfetch_B,Overfetch_C,L3_Hit_Rate,L3_Utilization,DRAM_Reads_MB,Num_Evictions,Tensor_A_MB,Tensor_B_MB,Tensor_C_MB,Total_Tensor_MB
Large Square,Baseline,Square,8192,8192,8192,WS,256,0.756836,1.00781,0.758789,0.503906,0.99028,1,581,16630,256,256,256,768
Large Square,Baseline,Square,8192,8192,8192,WS,1024,0.67157,0.752014,0.758789,0.503906,0.991265,0.503677,515,0,256,256,256,768
Large Square,Baseline,Square,8192,8192,8192,IS,1,43.6693,129,1.00781,1,0.493226,1,33538,1436374,256,256,256,768
Large Square,Baseline,Square,8192,8192,8192,IS,2,43.6693,129,1.00781,1,0.493226,1,33538,1436331,256,256,256,768
Large Square,Baseline,Square,8192,8192,8192,IS,4,1.49614,2.49609,0.99234,1,0.980777,1,1149,54317,256,256,256,768
Large Square,Baseline,Square,8192,8192,8192,IS,16,0.923024,1.00781,0.761261,1,0.987402,1,708,35025,256,256,256,768
Large Square,Baseline,Square,8192,8192,8192,IS,64,0.922292,1.00781,0.759064,1,0.987411,1,708,32953,256,256,256,768
Large Square,Baseline,Square,8192,8192,8192,IS,256,0.756836,1.00781,0.758789,0.503906,0.99028,1,581,16630,256,256,256,768
Large Square,Baseline,Square,8192,8192,8192,IS,1024,0.67157,0.752014,0.758789,0.503906,0.991265,0.503677,515,0,256,256,256,768
Large Square,Baseline,Square,8192,8192,8192,OS,1,86.3333,129,129,1,0,1,66304,2834390,256,256,256,768
Large Square,Baseline,Square,8192,8192,8192,OS,2,86.2481,128.744,129,1,0.000985735,0.996094,66238,2831553,256,256,256,768
Large Square,Baseline,Square,8192,8192,8192,OS,4,86.2481,128.744,129,1,0.000985735,1,66238,2831468,256,256,256,768
Large Square,Baseline,Square,8192,8192,8192,OS,16,43.584,0.752014,129,1,0.494212,1,33472,1432938,256,256,256,768
Large Square,Baseline,Square,8192,8192,8192,OS,64,43.584,0.752014,129,1,0.494212,1,33472,1430882,256,256,256,768
Large Square,Baseline,Square,8192,8192,8192,OS,256,0.67157,0.752014,0.758789,0.503906,0.991265,1,515,13302,256,256,256,768
Large Square,Baseline,Square,8192,8192,8192,OS,1024,0.67157,0.752014,0.758789,0.503906,0.991265,0.503677,515,0,256,256,256,768
Tall: Long Context Q×K^T,Attention,Tall,32768,128,128,WS,1,1.06418,1.12665,1.125,1.00146,0.641394,0.999023,34,1422,16,0,16,32
Tall: Long Context Q×K^T,Attention,Tall,32768,128,128,WS,2,1.06418,1.12665,1.125,1.00146,0.641394,0.999512,34,1373,16,0,16,32
Tall: Long Context Q×K^T,Attention,Tall,32768,128,128,WS,4,1.06418,1.12665,1.125,1.00146,0.641394,1,34,1276,16,0,16,32
Tall: Long Context Q×K^T,Attention,Tall,32768,128,128,WS,16,1.06418,1.12665,1.125,1.00146,0.641394,0.999878,34,723,16,0,16,32
Tall: Long Context Q×K^T,Attention,Tall,32768,128,128,WS,64,1.06418,1.12665,1.125,1.00146,0.641394,0.533127,34,0,16,0,16,32
Tall: Long Context Q×K^T,Attention,Tall,32768,128,128,WS,256,1.06418,1.12665,1.125,1.00146,0.641394,0.133282,34,0,16,0,16,32
Tall: Long Context Q×K^T,Attention,Tall,32768,128,128,WS,1024,1.06418,1.12665,1.125,1.00146,0.641394,0.0333204,34,0,16,0,16,32
Tall: Long Context Q×K^T,Attention,Tall,32768,128,128,IS,1,1.6264,2.2533,1.125,1.00146,0.427109,0.996094,52,2301,16,0,16,32
Tall: Long Context Q×K^T,Attention,Tall,32768,128,128,IS,2,1.6264,2.2533,1.125,1.00146,0.427109,0.999512,52,2253,16,0,16,32
Tall: Long Context Q×K^T,Attention,Tall,32768,128,128,IS,4,1.6264,2.2533,1.125,1.00146,0.427109,0.998779,52,2155,16,0,16,32
Tall: Long Context Q×K^T,Attention,Tall,32768,128,128,IS,16,1.06418,1.12665,1.125,1.00146,0.641394,1,34,716,16,0,16,32
Tall: Long Context Q×K^T,Attention,Tall,32768,128,128,IS,64,1.06418,1.12665,1.125,1.00146,0.641394,0.533127,34,0,16,0,16,32
Tall: Long Context Q×K^T,Attention,Tall,32768,128,128,IS,256,1.06418,1.12665,1.125,1.00146,0.641394,0.133282,34,0,16,0,16,32
Tall: Long Context Q×K^T,Attention,Tall,32768,128,128,IS,1024,1.06418,1.12665,1.125,1.00146,0.641394,0.0333204,34,0,16,0,16,32
Tall: Long Context Q×K^T,Attention,Tall,32768,128,128,OS,1,1.06418,1.12665,1.125,1.00146,0.641394,1,34,1425,16,0,16,32
Tall: Long Context Q×K^T,Attention,Tall,32768,128,128,OS,2,1.06418,1.12665,1.125,1.00146,0.641394,0.999023,34,1382,16,0,16,32
Tall: Long Context Q×K^T,Attention,Tall,32768,128,128,OS,4,1.06418,1.12665,1.125,1.00146,0.641394,0.998535,34,1296,16,0,16,32
Tall: Long Context Q×K^T,Attention,Tall,32768,128,128,OS,16,1.06418,1.12665,1.125,1.00146,0.641394,0.999451,34,780,16,0,16,32
Tall: Long Context Q×K^T,Attention,Tall,32768,128,128,OS,64,1.06418,1.12665,1.125,1.00146,0.641394,0.533127,34,0,16,0,16,32
Tall: Long Context Q×K^T,Attention,Tall,32768,128,128,OS,256,1.06418,1.12665,1.125,1.00146,0.641394,0.133282,34,0,16,0,16,32
Tall: Long Context Q×K^T,Attention,Tall,32768,128,128,OS,1024,1.06418,1.12665,1.125,1.00146,0.641394,0.0333204,34,0,16,0,16,32
Tall: Batch Projection,Projection,Tall,16384,512,512,WS,1,1.02075,1.03629,1.03125,1.00488,0.893486,1,66,2829,32,1,32,65
Tall: Batch Projection,Projection,Tall,16384,512,512,WS,2,1.02075,1.03629,1.03125,1.00488,0.893486,0.999512,66,2781,32,1,32,65
Tall: Batch Projection,Projection,Tall,16384,512,512,WS,4,1.02075,1.03629,1.03125,1.00488,0.893486,1,66,2680,32,1,32,65
Tall: Batch Projection,Projection,Tall,16384,512,512,WS,16,1.02075,1.03629,1.03125,1.00488,0.893486,1,66,2081,32,1,32,65
Tall: Batch Projection,Projection,Tall,16384,512,512,WS,64,1.02075,1.03629,1.03125,1.00488,0.893486,0.999954,66,89,32,1,32,65
