Workload_Name,Category,Aspect,M,N,K,Strategy,L3_Size_MB,Overfetch_Total,Overfetch_A,Overfetch_B,Overfetch_C,L3_Hit_Rate,L3_Utilization,DRAM_Reads_MB,Num_Evictions,Tensor_A_MB,Tensor_B_MB,Tensor_C_MB
LLaMA-2 7B Attn,Attention,Square,4096,4096,4096,OS,256,1.00521,1.00781,1.00781,1,0.97306,0.753906,193,0,64,64,64
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,WS,16,0.895561,1.00195,0.575255,0.859235,0.990907,1,1780,77627,896,196,896
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,WS,64,0.895561,1.00195,0.575255,0.859235,0.990907,1,1780,75470,896,196,896
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,WS,256,0.895561,1.00195,0.575255,0.859235,0.990907,1,1780,66811,896,196,896
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,IS,16,1.44758,1.99496,0.982382,1.00195,0.985277,1,2877,126173,896,196,896
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,IS,64,0.960214,1.00195,0.578603,1.00195,0.990269,1,1908,80970,896,196,896
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,IS,256,0.960026,1.00195,0.57669,1.00195,0.990272,1,1908,72306,896,196,896
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,OS,16,34.5572,0.859235,342,1.00195,0.493966,1,68699,4360236,896,196,896
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,OS,64,34.4928,0.859235,342,0.859235,0.494599,1,68571,4351721,896,196,896
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,OS,256,0.831237,0.859235,0.575255,0.859235,0.99154,1,1652,59584,896,196,896
