L2_Size_KB,L2_Banks,Total_L2_KB,PE_Rows,PE_Cols,Total_Energy_pJ,Avg_Energy_pJ,Total_Latency_cycles,Avg_Latency_cycles,Avg_Throughput_GFLOPS,Avg_Energy_Slowdown,Avg_Latency_Slowdown,Avg_Utilization,Num_Workloads,Num_Feasible,Coverage_Pct,Hardware_Cost,Energy_Per_Cost
16,1,16,8,8,3.02429e+11,2.01619e+09,62320056,415467,606.665,0.67385,1.09988,1,50,50,100,0.25,8.06476e+09
32,1,32,8,8,2.42193e+11,1.61462e+09,36238856,241592,951.205,0.462992,0.661124,1,50,50,100,0.5,3.22924e+09
64,1,64,8,8,2.19301e+11,1.46201e+09,23640906,157606,1227.47,0.407623,0.505732,1,50,50,100,1,1.46201e+09
96,1,96,8,8,2.03863e+11,1.35909e+09,18052468,120349,1458.83,0.375863,0.417217,1,50,50,100,1.5,9.06058e+08
128,1,128,8,8,1.98041e+11,1.32028e+09,16394502,109296,1562.77,0.367156,0.386349,1,50,50,100,2,6.60138e+08
192,1,192,8,8,1.81256e+11,1.20837e+09,13817354,92115,1861.26,0.341051,0.346186,1,50,50,100,3,4.02791e+08
256,1,256,8,8,1.71308e+11,1.14206e+09,13006021,86706,2063.72,0.325418,0.334701,1,50,50,100,4,2.85514e+08
