Workload_Name,Category,Aspect,M,N,K,Strategy,L3_Size_MB,Overfetch_Total,Overfetch_A,Overfetch_B,Overfetch_C,L3_Hit_Rate,L3_Utilization,DRAM_Reads_MB,Num_Evictions,Tensor_A_MB,Tensor_B_MB,Tensor_C_MB
Tall: Batch Inference,Projection,Tall,8192,1024,1024,WS,64,1.02775,1.04333,1.03125,1.01172,0.940616,1,69,219,32,4,32
Tall: Batch Inference,Projection,Tall,8192,1024,1024,WS,256,1.02775,1.04333,1.03125,1.01172,0.940616,0.272995,69,0,32,4,32
Tall: Batch Inference,Projection,Tall,8192,1024,1024,IS,1,8.39246,16.6934,1.03125,1.01172,0.482282,0.996094,570,27535,32,4,32
Tall: Batch Inference,Projection,Tall,8192,1024,1024,IS,2,1.36251,1.7547,1.03125,1.01172,0.919782,0.999512,92,4170,32,4,32
Tall: Batch Inference,Projection,Tall,8192,1024,1024,IS,16,1.02775,1.04333,1.03125,1.01172,0.940616,1,69,2322,32,4,32
Tall: Batch Inference,Projection,Tall,8192,1024,1024,IS,64,1.02775,1.04333,1.03125,1.01172,0.940616,1,69,217,32,4,32
Tall: Batch Inference,Projection,Tall,8192,1024,1024,IS,256,1.02775,1.04333,1.03125,1.01172,0.940616,0.272995,69,0,32,4,32
Tall: Batch Inference,Projection,Tall,8192,1024,1024,OS,1,5.45605,1.04333,76.3125,1.01172,0.458333,0.998047,371,28793,32,4,32
Tall: Batch Inference,Projection,Tall,8192,1024,1024,OS,2,5.45605,1.04333,76.3125,1.01172,0.458333,1,371,28713,32,4,32
Tall: Batch Inference,Projection,Tall,8192,1024,1024,OS,16,1.02775,1.04333,1.03125,1.01172,0.940616,0.999939,69,2303,32,4,32
Tall: Batch Inference,Projection,Tall,8192,1024,1024,OS,64,1.02775,1.04333,1.03125,1.01172,0.940616,0.999908,69,250,32,4,32
Tall: Batch Inference,Projection,Tall,8192,1024,1024,OS,256,1.02775,1.04333,1.03125,1.01172,0.940616,0.272995,69,0,32,4,32
Wide: Vocab Projection,Projection,Wide,512,16384,2048,WS,1,12.9657,1.01562,16.3293,1.00488,0.487229,0.99707,2126,63891,4,128,32
Wide: Vocab Projection,Projection,Wide,512,16384,2048,WS,2,12.9657,1.01562,16.3293,1.00488,0.487229,0.997559,2126,63861,4,128,32
Wide: Vocab Projection,Projection,Wide,512,16384,2048,WS,16,0.524503,1.01562,0.573311,0.267883,0.97441,1,86,2676,4,128,32
Wide: Vocab Projection,Projection,Wide,512,16384,2048,WS,64,0.524503,1.01562,0.573311,0.267883,0.97441,1,86,1077,4,128,32
Wide: Vocab Projection,Projection,Wide,512,16384,2048,WS,256,0.524503,1.01562,0.573311,0.267883,0.97441,0.33601,86,0,4,128,32
Wide: Vocab Projection,Projection,Wide,512,16384,2048,IS,1,1.0174,1.01562,1.02058,1.00488,0.947135,1,166,6550,4,128,32
Wide: Vocab Projection,Projection,Wide,512,16384,2048,IS,2,1.0174,1.01562,1.02058,1.00488,0.947135,1,166,6521,4,128,32
Wide: Vocab Projection,Projection,Wide,512,16384,2048,IS,16,0.524503,1.01562,0.573311,0.267883,0.97441,1,86,2665,4,128,32
Wide: Vocab Projection,Projection,Wide,512,16384,2048,IS,64,0.524503,1.01562,0.573311,0.267883,0.97441,1,86,1067,4,128,32
Wide: Vocab Projection,Projection,Wide,512,16384,2048,IS,256,0.524503,1.01562,0.573311,0.267883,0.97441,0.33601,86,0,4,128,32
Wide: Vocab Projection,Projection,Wide,512,16384,2048,OS,1,16.5823,149.297,16.3293,1.00488,0,0.990234,2719,124612,4,128,32
Wide: Vocab Projection,Projection,Wide,512,16384,2048,OS,2,12.9657,1.01562,16.3293,1.00488,0.487229,1,2126,63843,4,128,32
Wide: Vocab Projection,Projection,Wide,512,16384,2048,OS,16,12.9657,1.01562,16.3293,1.00488,0.487229,0.999939,2126,63424,4,128,32
Wide: Vocab Projection,Projection,Wide,512,16384,2048,OS,64,7.70432,1.01562,9.62025,0.876709,0.69119,1,1263,36562,4,128,32
Wide: Vocab Projection,Projection,Wide,512,16384,2048,OS,256,0.524503,1.01562,0.573311,0.267883,0.97441,0.33601,86,0,4,128,32
Wide: Large Vocab,Projection,Wide,256,32768,1536,WS,1,7.25478,1.04167,8.34554,1.00146,0.48614,0.99707,1635,49355,1,192,32
Wide: Large Vocab,Projection,Wide,256,32768,1536,WS,2,7.25478,1.04167,8.34554,1.00146,0.48614,0.997559,1635,49325,1,192,32
Wide: Large Vocab,Projection,Wide,256,32768,1536,WS,16,0.313076,1.04167,0.322749,0.220886,0.974091,1,70,2005,1,192,32
Wide: Large Vocab,Projection,Wide,256,32768,1536,WS,64,0.313076,1.04167,0.322749,0.220886,0.974091,1,70,377,1,192,32
Wide: Large Vocab,Projection,Wide,256,32768,1536,WS,256,0.313076,1.04167,0.322749,0.220886,0.974091,0.275776,70,0,1,192,32
Wide: Large Vocab,Projection,Wide,256,32768,1536,IS,1,1.03726,1.04167,1.04319,1.00146,0.912969,1,233,8330,1,192,32
Wide: Large Vocab,Projection,Wide,256,32768,1536,IS,2,1.03726,1.04167,1.04319,1.00146,0.912969,1,233,8300,1,192,32
Wide: Large Vocab,Projection,Wide,256,32768,1536,IS,16,0.313076,1.04167,0.322749,0.220886,0.974091,1,70,2000,1,192,32
Wide: Large Vocab,Projection,Wide,256,32768,1536,IS,64,0.313076,1.04167,0.322749,0.220886,0.974091,0.999985,70,363,1,192,32
Wide: Large Vocab,Projection,Wide,256,32768,1536,IS,256,0.313076,1.04167,0.322749,0.220886,0.974091,0.275776,70,0,1,192,32
Wide: Large Vocab,Projection,Wide,256,32768,1536,OS,1,7.25478,1.04167,8.34554,1.00146,0.48614,0.995117,1635,49340,1,192,32
Wide: Large Vocab,Projection,Wide,256,32768,1536,OS,2,7.25478,1.04167,8.34554,1.00146,0.48614,1,1635,49310,1,192,32
Wide: Large Vocab,Projection,Wide,256,32768,1536,OS,16,7.25478,1.04167,8.34554,1.00146,0.48614,0.999939,1635,48889,1,192,32
Wide: Large Vocab,Projection,Wide,256,32768,1536,OS,64,0.674244,1.04167,0.616837,1.00146,0.93789,1,152,3935,1,192,32
Wide: Large Vocab,Projection,Wide,256,32768,1536,OS,256,0.313076,1.04167,0.322749,0.220886,0.974091,0.275776,70,0,1,192,32
Deep: MLP Up,MLP,Deep,1024,1024,8192,WS,1,31.5432,1.0293,65.875,1,0.478125,1,2144,74783,32,32,4
Deep: MLP Up,MLP,Deep,1024,1024,8192,WS,2,2.77918,1.0293,4.84375,0.261719,0.949219,1,188,7214,32,32,4
Deep: MLP Up,MLP,Deep,1024,1024,8192,WS,16,0.984145,1.0293,1.0293,0.261719,0.977344,1,66,2720,32,32,4
Deep: MLP Up,MLP,Deep,1024,1024,8192,WS,64,0.982364,1.02551,1.0293,0.261719,0.977372,1,66,1068,32,32,4
Deep: MLP Up,MLP,Deep,1024,1024,8192,WS,256,0.956098,0.969696,1.0293,0.261719,0.977783,0.253963,65,0,32,32,4
Deep: MLP Up,MLP,Deep,1024,1024,8192,IS,1,31.5432,65.875,1.0293,1,0.478125,1,2144,74783,32,32,4
Deep: MLP Up,MLP,Deep,1024,1024,8192,IS,2,2.82261,4.84375,1.0293,1,0.928125,1,191,10238,32,32,4
Deep: MLP Up,MLP,Deep,1024,1024,8192,IS,16,0.984145,1.0293,1.0293,0.261719,0.977344,1,66,2720,32,32,4
Deep: MLP Up,MLP,Deep,1024,1024,8192,IS,64,0.956098,0.969696,1.0293,0.261719,0.977783,1,65,66,32,32,4
Deep: MLP Up,MLP,Deep,1024,1024,8192,IS,256,0.956098,0.969696,1.0293,0.261719,0.977783,0.253963,65,0,32,32,4
Deep: MLP Up,MLP,Deep,1024,1024,8192,OS,1,62.0308,65.8154,65.875,1,0.000439453,1,4218,143264,32,32,4
Deep: MLP Up,MLP,Deep,1024,1024,8192,OS,2,31.5152,0.969696,65.875,1,0.478564,1,2143,74685,32,32,4
Deep: MLP Up,MLP,Deep,1024,1024,8192,OS,16,31.5152,0.969696,65.875,1,0.478564,0.999023,2143,74196,32,32,4
Deep: MLP Up,MLP,Deep,1024,1024,8192,OS,64,0.956098,0.969696,1.0293,0.261719,0.977783,1,65,79,32,32,4
Deep: MLP Up,MLP,Deep,1024,1024,8192,OS,256,0.956098,0.969696,1.0293,0.261719,0.977783,0.253963,65,0,32,32,4
Deep: Extreme MLP,MLP,Deep,512,512,16384,WS,1,16.2536,1.0293,31.9697,0.515625,0.498854,1,1056,35376,32,32,1
Deep: Extreme MLP,MLP,Deep,512,512,16384,WS,2,1.02139,1.0293,1.0293,0.515625,0.96173,1,66,2638,32,32,1
Deep: Extreme MLP,MLP,Deep,512,512,16384,WS,16,1.02139,1.0293,1.0293,0.515625,0.96173,1,66,2176,32,32,1
Deep: Extreme MLP,MLP,Deep,512,512,16384,WS,64,0.761508,0.501404,1.0293,0.515625,0.969627,0.773407,49,0,32,32,1
Deep: Extreme MLP,MLP,Deep,512,512,16384,WS,256,0.761508,0.501404,1.0293,0.515625,0.969627,0.193352,49,0,32,32,1
Deep: Extreme MLP,MLP,Deep,512,512,16384,IS,1,16.261,31.9697,1.0293,1,0.491834,1,1056,35872,32,32,1
Deep: Extreme MLP,MLP,Deep,512,512,16384,IS,2,1.02139,1.0293,1.0293,0.515625,0.96173,1,66,2638,32,32,1
Deep: Extreme MLP,MLP,Deep,512,512,16384,IS,16,1.02139,1.0293,1.0293,0.515625,0.96173,1,66,2176,32,32,1
Deep: Extreme MLP,MLP,Deep,512,512,16384,IS,64,0.761508,0.501404,1.0293,0.515625,0.969627,0.773407,49,0,32,32,1
Deep: Extreme MLP,MLP,Deep,512,512,16384,IS,256,0.761508,0.501404,1.0293,0.515625,0.969627,0.193352,49,0,32,32,1
Deep: Extreme MLP,MLP,Deep,512,512,16384,OS,1,32.4462,32.9375,32.9375,1,0,1,2109,70623,32,32,1
Deep: Extreme MLP,MLP,Deep,512,512,16384,OS,2,32.1863,32.4096,32.9375,1,0.00789742,0.999512,2092,70032,32,32,1
Deep: Extreme MLP,MLP,Deep,512,512,16384,OS,16,16.4776,0.501404,32.9375,1,0.485252,0.999939,1071,35828,32,32,1
Deep: Extreme MLP,MLP,Deep,512,512,16384,OS,64,0.761508,0.501404,1.0293,0.515625,0.969627,0.773407,49,0,32,32,1
Deep: Extreme MLP,MLP,Deep,512,512,16384,OS,256,0.761508,0.501404,1.0293,0.515625,0.969627,0.193352,49,0,32,32,1
BERT Q×K^T,Attention,Balanced,2048,2048,768,WS,1,1.24302,1.03125,1.93359,1.06348,0.915584,0.996094,34,1917,6,6,16
BERT Q×K^T,Attention,Balanced,2048,2048,768,WS,2,1.04967,1.03125,1.03125,1.06348,0.935065,0.996094,29,1370,6,6,16
BERT Q×K^T,Attention,Balanced,2048,2048,768,WS,16,1.04967,1.03125,1.03125,1.06348,0.935065,0.999756,29,393,6,6,16
BERT Q×K^T,Attention,Balanced,2048,2048,768,WS,64,1.04967,1.03125,1.03125,1.06348,0.935065,0.459229,29,0,6,6,16
BERT Q×K^T,Attention,Balanced,2048,2048,768,WS,256,1.04967,1.03125,1.03125,1.06348,0.935065,0.114807,29,0,6,6,16
BERT Q×K^T,Attention,Balanced,2048,2048,768,IS,1,1.24302,1.93359,1.03125,1.06348,0.915584,0.996094,34,1917,6,6,16
BERT Q×K^T,Attention,Balanced,2048,2048,768,IS,2,1.04967,1.03125,1.03125,1.06348,0.935065,0.996094,29,1370,6,6,16
BERT Q×K^T,Attention,Balanced,2048,2048,768,IS,16,1.04967,1.03125,1.03125,1.06348,0.935065,0.999756,29,393,6,6,16
BERT Q×K^T,Attention,Balanced,2048,2048,768,IS,64,1.04967,1.03125,1.03125,1.06348,0.935065,0.459229,29,0,6,6,16
BERT Q×K^T,Attention,Balanced,2048,2048,768,IS,256,1.04967,1.03125,1.03125,1.06348,0.935065,0.114807,29,0,6,6,16
BERT Q×K^T,Attention,Balanced,2048,2048,768,OS,1,5.69029,1.03125,22.6875,1.06348,0.467532,0.996094,159,12547,6,6,16
BERT Q×K^T,Attention,Balanced,2048,2048,768,OS,2,5.69029,1.03125,22.6875,1.06348,0.467532,0.996094,159,12468,6,6,16
BERT Q×K^T,Attention,Balanced,2048,2048,768,OS,16,1.04967,1.03125,1.03125,1.06348,0.935065,0.999756,29,573,6,6,16
BERT Q×K^T,Attention,Balanced,2048,2048,768,OS,64,1.04967,1.03125,1.03125,1.06348,0.935065,0.459229,29,0,6,6,16
BERT Q×K^T,Attention,Balanced,2048,2048,768,OS,256,1.04967,1.03125,1.03125,1.06348,0.935065,0.114807,29,0,6,6,16
